Designator,Footprint,Quantity,Value,LCSC Part #
"C1_24, C1_23, C1_22, C1_21, C1_20, C1_19, C1_18, C1_17, C1_16, C1_15, C1_14, C1_13, C1_12, C1_11, C1_10, C1_9, C1_8, C1_7, C1_6, C1_5, C1_4, C1_3, C1_2, C1, C2_24, C2_23, C2_22, C2_21, C2_20, C2_19, C2_18, C2_17, C2_16, C2_15, C2_14, C2_13, C2_12, C2_11, C2_10, C2_9, C2_8, C2_7, C2_6, C2_5, C2_4, C2_3, C2_2, C2, C3_24, C3_23, C3_22, C3_21, C3_20, C3_19, C3_18, C3_17, C3_16, C3_15, C3_14, C3_13, C3_12, C3_11, C3_10, C3_9, C3_8, C3_7, C3_6, C3_5, C3_4, C3_3, C3_2, C3, C4_24, C4_23, C4_22, C4_21, C4_20, C4_19, C4_18, C4_17, C4_16, C4_15, C4_14, C4_13, C4_12, C4_11, C4_10, C4_9, C4_8, C4_7, C4_6, C4_5, C4_4, C4_3, C4_2, C4",0603,96,0.1uF,
"D1_24, D1_23, D1_22, D1_21, D1_20, D1_19, D1_18, D1_17, D1_16, D1_15, D1_14, D1_13, D1_12, D1_11, D1_10, D1_9, D1_8, D1_7, D1_6, D1_5, D1_4, D1_3, D1_2, D1, D2_24, D2_23, D2_22, D2_21, D2_20, D2_19, D2_18, D2_17, D2_16, D2_15, D2_14, D2_13, D2_12, D2_11, D2_10, D2_9, D2_8, D2_7, D2_6, D2_5, D2_4, D2_3, D2_2, D2",0603,48,LED,
"J1_24, J1_23, J1_22, J1_21, J1_20, J1_19, J1_18, J1_17, J1_16, J1_15, J1_14, J1_13, J1_12, J1_11, J1_10, J1_9, J1_8, J1_7, J1_6, J1_5, J1_4, J1_3, J1_2, J1",USB_C_Receptacle_HRO_TYPE-C-31-M-12,24,USB_C_Receptacle_USB2.0_16P,
"R1_24, R1_23, R1_22, R1_21, R1_20, R1_19, R1_18, R1_17, R1_16, R1_15, R1_14, R1_13, R1_12, R1_11, R1_10, R1_9, R1_8, R1_7, R1_6, R1_5, R1_4, R1_3, R1_2, R1, R2_24, R2_23, R2_22, R2_21, R2_20, R2_19, R2_18, R2_17, R2_16, R2_15, R2_14, R2_13, R2_12, R2_11, R2_10, R2_9, R2_8, R2_7, R2_6, R2_5, R2_4, R2_3, R2_2, R2",0603,48,5.1kΩ,
"R3_24, R3_23, R3_22, R3_21, R3_20, R3_19, R3_18, R3_17, R3_16, R3_15, R3_14, R3_13, R3_12, R3_11, R3_10, R3_9, R3_8, R3_7, R3_6, R3_5, R3_4, R3_3, R3_2, R3, R4_24, R4_23, R4_22, R4_21, R4_20, R4_19, R4_18, R4_17, R4_16, R4_15, R4_14, R4_13, R4_12, R4_11, R4_10, R4_9, R4_8, R4_7, R4_6, R4_5, R4_4, R4_3, R4_2, R4",0603,48,1kΩ,
"TP1_24, TP1_23, TP1_22, TP1_21, TP1_20, TP1_19, TP1_18, TP1_17, TP1_16, TP1_15, TP1_14, TP1_13, TP1_12, TP1_11, TP1_10, TP1_9, TP1_8, TP1_7, TP1_6, TP1_5, TP1_4, TP1_3, TP1_2, TP1, TP2_24, TP2_23, TP2_22, TP2_21, TP2_20, TP2_19, TP2_18, TP2_17, TP2_16, TP2_15, TP2_14, TP2_13, TP2_12, TP2_11, TP2_10, TP2_9, TP2_8, TP2_7, TP2_6, TP2_5, TP2_4, TP2_3, TP2_2, TP2, TP3_24, TP3_23, TP3_22, TP3_21, TP3_20, TP3_19, TP3_18, TP3_17, TP3_16, TP3_15, TP3_14, TP3_13, TP3_12, TP3_11, TP3_10, TP3_9, TP3_8, TP3_7, TP3_6, TP3_5, TP3_4, TP3_3, TP3_2, TP3, TP4_24, TP4_23, TP4_22, TP4_21, TP4_20, TP4_19, TP4_18, TP4_17, TP4_16, TP4_15, TP4_14, TP4_13, TP4_12, TP4_11, TP4_10, TP4_9, TP4_8, TP4_7, TP4_6, TP4_5, TP4_4, TP4_3, TP4_2, TP4",TestPoint_Keystone_5015_Micro_Mini,96,TestPoint,
"U1_24, U1_23, U1_22, U1_21, U1_20, U1_19, U1_18, U1_17, U1_16, U1_15, U1_14, U1_13, U1_12, U1_11, U1_10, U1_9, U1_8, U1_7, U1_6, U1_5, U1_4, U1_3, U1_2, U1",SOIC-8_3.9x4.9mm_P1.27mm,24,ADuM121N,
"U2_24, U2_23, U2_22, U2_21, U2_20, U2_19, U2_18, U2_17, U2_16, U2_15, U2_14, U2_13, U2_12, U2_11, U2_10, U2_9, U2_8, U2_7, U2_6, U2_5, U2_4, U2_3, U2_2, U2",MSOP-10_3x3mm_P0.5mm,24,CH340E,
"U3_24, U3_23, U3_22, U3_21, U3_20, U3_19, U3_18, U3_17, U3_16, U3_15, U3_14, U3_13, U3_12, U3_11, U3_10, U3_9, U3_8, U3_7, U3_6, U3_5, U3_4, U3_3, U3_2, U3",SOT-23-6,24,USBLC6-2SC6,
"U4_24, U4_23, U4_22, U4_21, U4_20, U4_19, U4_18, U4_17, U4_16, U4_15, U4_14, U4_13, U4_12, U4_11, U4_10, U4_9, U4_8, U4_7, U4_6, U4_5, U4_4, U4_3, U4_2, U4",SOT-23-3,24,CH213K,
