Designator,Mid X,Mid Y,Rotation,Layer
C1_32,136.45,-129.525,90.0,top
C1_31,114.45,-129.525,90.0,top
C1_30,92.45,-95.025,90.0,top
C1_29,70.45,-164.025,90.0,top
C1_28,70.45,-118.025,90.0,top
C1_27,92.45,-141.025,90.0,top
C1_26,92.45,-164.025,90.0,top
C1_25,136.45,-95.025,90.0,top
C1_24,114.45,-164.025,90.0,top
C1_23,136.45,-152.525,90.0,top
C1_22,114.45,-175.525,90.0,top
C1_21,70.45,-175.525,90.0,top
C1_20,92.45,-118.025,90.0,top
C1_19,70.45,-152.525,90.0,top
C1_18,136.45,-164.025,90.0,top
C1_17,114.45,-141.025,90.0,top
C1_16,92.45,-106.525,90.0,top
C1_15,114.45,-106.525,90.0,top
C1_14,70.45,-95.025,90.0,top
C1_13,114.45,-118.025,90.0,top
C1_12,92.45,-152.525,90.0,top
C1_11,70.45,-129.525,90.0,top
C1_10,136.45,-106.525,90.0,top
C1_9,136.45,-141.025,90.0,top
C1_8,114.45,-152.525,90.0,top
C1_7,70.45,-106.525,90.0,top
C1_6,70.45,-141.025,90.0,top
C1_5,92.45,-129.525,90.0,top
C1_4,136.45,-118.025,90.0,top
C1_3,136.45,-175.525,90.0,top
C1_2,114.45,-95.025,90.0,top
C1,92.45,-175.525,90.0,top
C2_32,137.95,-152.525,90.0,top
C2_31,93.95,-118.025,90.0,top
C2_30,93.95,-141.025,90.0,top
C2_29,115.95,-95.025,90.0,top
C2_28,115.95,-129.525,90.0,top
C2_27,93.95,-129.525,90.0,top
C2_26,93.95,-152.525,90.0,top
C2_25,137.95,-175.525,90.0,top
C2_24,137.95,-129.525,90.0,top
C2_23,115.95,-118.025,90.0,top
C2_22,115.95,-106.525,90.0,top
C2_21,71.95,-175.525,90.0,top
C2_20,71.95,-95.025,90.0,top
C2_19,71.95,-118.025,90.0,top
C2_18,93.95,-164.025,90.0,top
C2_17,115.95,-141.025,90.0,top
C2_16,137.95,-118.025,90.0,top
C2_15,93.95,-175.525,90.0,top
C2_14,71.95,-141.025,90.0,top
C2_13,115.95,-164.025,90.0,top
C2_12,71.95,-129.525,90.0,top
C2_11,115.95,-152.525,90.0,top
C2_10,93.95,-106.525,90.0,top
C2_9,137.95,-164.025,90.0,top
C2_8,71.95,-106.525,90.0,top
C2_7,115.95,-175.525,90.0,top
C2_6,93.95,-95.025,90.0,top
C2_5,137.95,-95.025,90.0,top
C2_4,71.95,-152.525,90.0,top
C2_3,137.95,-106.525,90.0,top
C2_2,71.95,-164.025,90.0,top
C2,137.95,-141.025,90.0,top
D1_32,133.6625,-157.75,0.0,top
D1_31,67.6625,-134.75,0.0,top
D1_30,89.6625,-100.25,0.0,top
D1_29,111.6625,-169.25,0.0,top
D1_28,89.6625,-88.75,0.0,top
D1_27,67.6625,-169.25,0.0,top
D1_26,133.6625,-169.25,0.0,top
D1_25,67.6625,-100.25,0.0,top
D1_24,111.6625,-88.75,0.0,top
D1_23,89.6625,-157.75,0.0,top
D1_22,133.6625,-134.75,0.0,top
D1_21,133.6625,-100.25,0.0,top
D1_20,67.6625,-157.75,0.0,top
D1_19,111.6625,-111.75,0.0,top
D1_18,111.6625,-146.25,0.0,top
D1_17,67.6625,-88.75,0.0,top
D1_16,67.6625,-123.25,0.0,top
D1_15,111.6625,-134.75,0.0,top
D1_14,111.6625,-157.75,0.0,top
D1_13,89.6625,-123.25,0.0,top
D1_12,133.6625,-111.75,0.0,top
D1_11,67.6625,-146.25,0.0,top
D1_10,89.6625,-169.25,0.0,top
D1_9,133.6625,-146.25,0.0,top
D1_8,67.6625,-111.75,0.0,top
D1_7,133.6625,-88.75,0.0,top
D1_6,89.6625,-134.75,0.0,top
D1_5,89.6625,-111.75,0.0,top
D1_4,133.6625,-123.25,0.0,top
D1_3,111.6625,-123.25,0.0,top
D1_2,111.6625,-100.25,0.0,top
D1,89.6625,-146.25,0.0,top
D2_32,114.7375,-123.25,0.0,top
D2_31,70.7375,-123.25,0.0,top
D2_30,92.7375,-157.75,0.0,top
D2_29,92.7375,-169.25,0.0,top
D2_28,136.7375,-134.75,0.0,top
D2_27,114.7375,-157.75,0.0,top
D2_26,114.7375,-134.75,0.0,top
D2_25,70.7375,-157.75,0.0,top
D2_24,114.7375,-88.75,0.0,top
D2_23,136.7375,-169.25,0.0,top
D2_22,136.7375,-157.75,0.0,top
D2_21,70.7375,-111.75,0.0,top
D2_20,114.7375,-169.25,0.0,top
D2_19,114.7375,-111.75,0.0,top
D2_18,70.7375,-169.25,0.0,top
D2_17,136.7375,-146.25,0.0,top
D2_16,92.7375,-111.75,0.0,top
D2_15,70.7375,-134.75,0.0,top
D2_14,136.7375,-111.75,0.0,top
D2_13,70.7375,-100.25,0.0,top
D2_12,92.7375,-88.75,0.0,top
D2_11,136.7375,-123.25,0.0,top
D2_10,136.7375,-100.25,0.0,top
D2_9,136.7375,-88.75,0.0,top
D2_8,114.7375,-146.25,0.0,top
D2_7,114.7375,-100.25,0.0,top
D2_6,92.7375,-123.25,0.0,top
D2_5,92.7375,-134.75,0.0,top
D2_4,92.7375,-100.25,0.0,top
D2_3,70.7375,-146.25,0.0,top
D2_2,70.7375,-88.75,0.0,top
D2,92.7375,-146.25,0.0,top
J1_32,83.2,-104.75,270.0,top
J1_31,61.2,-104.75,270.0,top
J1_30,61.2,-162.25,270.0,top
J1_29,61.2,-173.75,270.0,top
J1_28,61.2,-127.75,270.0,top
J1_27,105.2,-104.75,270.0,top
J1_26,105.2,-116.25,270.0,top
J1_25,127.2,-93.25,270.0,top
J1_24,127.2,-162.25,270.0,top
J1_23,127.2,-173.75,270.0,top
J1_22,61.2,-139.25,270.0,top
J1_21,83.2,-93.25,270.0,top
J1_20,61.2,-116.25,270.0,top
J1_19,127.2,-104.75,270.0,top
J1_18,61.2,-150.75,270.0,top
J1_17,105.2,-127.75,270.0,top
J1_16,83.2,-139.25,270.0,top
J1_15,83.2,-127.75,270.0,top
J1_14,127.2,-116.25,270.0,top
J1_13,105.2,-93.25,270.0,top
J1_12,83.2,-162.25,270.0,top
J1_11,83.2,-150.75,270.0,top
J1_10,83.2,-116.25,270.0,top
J1_9,83.2,-173.75,270.0,top
J1_8,127.2,-127.75,270.0,top
J1_7,127.2,-150.75,270.0,top
J1_6,105.2,-150.75,270.0,top
J1_5,61.2,-93.25,270.0,top
J1_4,127.2,-139.25,270.0,top
J1_3,105.2,-162.25,270.0,top
J1_2,105.2,-139.25,270.0,top
J1,105.2,-173.75,270.0,top
R1_32,74.375,-130.95,0.0,top
R1_31,140.375,-176.95,0.0,top
R1_30,74.375,-153.95,0.0,top
R1_29,96.375,-176.95,0.0,top
R1_28,140.375,-142.45,0.0,top
R1_27,74.375,-107.95,0.0,top
R1_26,96.375,-153.95,0.0,top
R1_25,140.375,-165.45,0.0,top
R1_24,74.375,-119.45,0.0,top
R1_23,118.375,-96.45,0.0,top
R1_22,118.375,-153.95,0.0,top
R1_21,140.375,-107.95,0.0,top
R1_20,96.375,-142.45,0.0,top
R1_19,118.375,-176.95,0.0,top
R1_18,74.375,-142.45,0.0,top
R1_17,140.375,-153.95,0.0,top
R1_16,118.375,-165.45,0.0,top
R1_15,118.375,-130.95,0.0,top
R1_14,118.375,-142.45,0.0,top
R1_13,96.375,-96.45,0.0,top
R1_12,140.375,-119.45,0.0,top
R1_11,96.375,-130.95,0.0,top
R1_10,74.375,-96.45,0.0,top
R1_9,140.375,-96.45,0.0,top
R1_8,96.375,-119.45,0.0,top
R1_7,96.375,-165.45,0.0,top
R1_6,74.375,-165.45,0.0,top
R1_5,118.375,-119.45,0.0,top
R1_4,96.375,-107.95,0.0,top
R1_3,140.375,-130.95,0.0,top
R1_2,74.375,-176.95,0.0,top
R1,118.375,-107.95,0.0,top
R2_32,74.375,-97.95,0.0,top
R2_31,140.375,-166.95,0.0,top
R2_30,140.375,-109.45,0.0,top
R2_29,74.375,-166.95,0.0,top
R2_28,96.375,-97.95,0.0,top
R2_27,118.375,-97.95,0.0,top
R2_26,140.375,-178.45,0.0,top
R2_25,140.375,-120.95,0.0,top
R2_24,118.375,-166.95,0.0,top
R2_23,74.375,-109.45,0.0,top
R2_22,118.375,-143.95,0.0,top
R2_21,74.375,-120.95,0.0,top
R2_20,96.375,-120.95,0.0,top
R2_19,118.375,-178.45,0.0,top
R2_18,140.375,-97.95,0.0,top
R2_17,96.375,-109.45,0.0,top
R2_16,118.375,-120.95,0.0,top
R2_15,118.375,-132.45,0.0,top
R2_14,74.375,-132.45,0.0,top
R2_13,118.375,-109.45,0.0,top
R2_12,118.375,-155.45,0.0,top
R2_11,74.375,-178.45,0.0,top
R2_10,140.375,-132.45,0.0,top
R2_9,96.375,-143.95,0.0,top
R2_8,96.375,-155.45,0.0,top
R2_7,140.375,-143.95,0.0,top
R2_6,96.375,-132.45,0.0,top
R2_5,96.375,-166.95,0.0,top
R2_4,74.375,-143.95,0.0,top
R2_3,140.375,-155.45,0.0,top
R2_2,74.375,-155.45,0.0,top
R2,96.375,-178.45,0.0,top
R3_32,96.375,-94.75,0.0,top
R3_31,74.375,-175.25,0.0,top
R3_30,96.375,-175.25,0.0,top
R3_29,118.375,-140.75,0.0,top
R3_28,140.375,-152.25,0.0,top
R3_27,140.375,-175.25,0.0,top
R3_26,118.375,-175.25,0.0,top
R3_25,74.375,-94.75,0.0,top
R3_24,140.375,-163.75,0.0,top
R3_23,118.375,-163.75,0.0,top
