Designator,Mid X,Mid Y,Rotation,Layer
C1_3,98.5,-124.0,180.0,top
C1_2,98.5,-94.0,180.0,top
C1,98.5,-154.0,180.0,top
C10_3,126.475435,-110.575,270.0,bottom
C10_2,126.475435,-80.575,270.0,bottom
C10,126.475435,-140.575,270.0,bottom
C11_3,106.475435,-110.575,270.0,bottom
C11_2,106.475435,-80.575,270.0,bottom
C11,106.475435,-140.575,270.0,bottom
C2_3,98.5,-103.9575,90.0,top
C2_2,98.5,-73.9575,90.0,top
C2,98.5,-133.9575,90.0,top
C3_3,100.75,-106.75,0.0,top
C3_2,100.75,-76.75,0.0,top
C3,100.75,-136.75,0.0,top
C4_3,174.875,-105.875,180.0,top
C4_2,174.875,-75.875,180.0,top
C4,174.875,-135.875,180.0,top
C5_3,166.225435,-110.575,270.0,bottom
C5_2,166.225435,-80.575,270.0,bottom
C5,166.225435,-140.575,270.0,bottom
C6_3,154.875,-105.875,180.0,top
C6_2,154.875,-75.875,180.0,top
C6,154.875,-135.875,180.0,top
C7_3,146.225435,-110.575,270.0,bottom
C7_2,146.225435,-80.575,270.0,bottom
C7,146.225435,-140.575,270.0,bottom
C8_3,135.125,-105.875,180.0,top
C8_2,135.125,-75.875,180.0,top
C8,135.125,-135.875,180.0,top
C9_3,115.125,-105.875,180.0,top
C9_2,115.125,-75.875,180.0,top
C9,115.125,-135.875,180.0,top
J1_3,93.647339,-113.0,270.0,top
J1_2,93.647339,-83.0,270.0,top
J1,93.647339,-143.0,270.0,top
J2_3,174.875,-117.58,0.0,top
J2_2,174.875,-87.58,0.0,top
J2,174.875,-147.58,0.0,top
J3_3,154.875,-117.58,0.0,top
J3_2,154.875,-87.58,0.0,top
J3,154.875,-147.58,0.0,top
J4_3,135.125,-117.58,0.0,top
J4_2,135.125,-87.58,0.0,top
J4,135.125,-147.58,0.0,top
J5_3,115.125,-117.58,0.0,top
J5_2,115.125,-87.58,0.0,top
J5,115.125,-147.58,0.0,top
R1_3,92.175,-104.0,180.0,top
R1_2,92.175,-74.0,180.0,top
R1,92.175,-134.0,180.0,top
R2_3,92.175,-105.75,180.0,top
R2_2,92.175,-75.75,180.0,top
R2,92.175,-135.75,180.0,top
R3_3,169.225435,-113.075,0.0,bottom
R3_2,169.225435,-83.075,0.0,bottom
R3,169.225435,-143.075,0.0,bottom
R4_3,149.225435,-113.075,0.0,bottom
R4_2,149.225435,-83.075,0.0,bottom
R4,149.225435,-143.075,0.0,bottom
R5_3,129.475435,-113.075,0.0,bottom
R5_2,129.475435,-83.075,0.0,bottom
R5,129.475435,-143.075,0.0,bottom
R6_3,109.475435,-113.075,0.0,bottom
R6_2,109.475435,-83.075,0.0,bottom
R6,109.475435,-143.075,0.0,bottom
R7_3,104.0,-119.25,0.0,top
R7_2,104.0,-89.25,0.0,top
R7,104.0,-149.25,0.0,top
U1_3,103.0,-103.1825,180.0,top
U1_2,103.0,-73.1825,180.0,top
U1,103.0,-133.1825,180.0,top
U10_3,109.475435,-110.575,180.0,bottom
U10_2,109.475435,-80.575,180.0,bottom
U10,109.475435,-140.575,180.0,bottom
U11_3,102.8875,-116.7,0.0,top
U11_2,102.8875,-86.7,0.0,top
U11,102.8875,-146.7,0.0,top
U2_3,100.75,-113.0,180.0,top
U2_2,100.75,-83.0,180.0,top
U2,100.75,-143.0,180.0,top
U3_3,174.875,-112.375,270.0,bottom
U3_2,174.875,-82.375,270.0,bottom
U3,174.875,-142.375,270.0,bottom
U4_3,169.225435,-110.575,180.0,bottom
U4_2,169.225435,-80.575,180.0,bottom
U4,169.225435,-140.575,180.0,bottom
U5_3,154.875,-112.375,270.0,bottom
U5_2,154.875,-82.375,270.0,bottom
U5,154.875,-142.375,270.0,bottom
U6_3,149.225435,-110.575,180.0,bottom
U6_2,149.225435,-80.575,180.0,bottom
U6,149.225435,-140.575,180.0,bottom
U7_3,135.125,-112.375,270.0,bottom
U7_2,135.125,-82.375,270.0,bottom
U7,135.125,-142.375,270.0,bottom
U8_3,115.125,-112.375,270.0,bottom
U8_2,115.125,-82.375,270.0,bottom
U8,115.125,-142.375,270.0,bottom
U9_3,129.475435,-110.575,180.0,bottom
U9_2,129.475435,-80.575,180.0,bottom
U9,129.475435,-140.575,180.0,bottom
