Designator,Mid X,Mid Y,Rotation,Layer
C1,117.0,-98.8875,180.0,top
C2,119.5,-98.0,270.0,top
C3,116.5,-102.55,270.0,top
C4,122.5,-102.55,270.0,top
C5,119.5,-93.0,270.0,top
C6,121.0,-93.0,270.0,top
C7,121.0,-96.25,270.0,top
C8,131.975,-99.6,180.0,top
D1,107.5,-86.8,0.0,top
D10,126.2875,-90.0,0.0,bottom
D11,123.0375,-88.0,0.0,bottom
D12,123.0375,-90.0,0.0,bottom
D13,119.7875,-88.0,0.0,bottom
D14,119.7875,-90.0,0.0,bottom
D15,116.5375,-88.0,0.0,bottom
D16,116.5375,-90.0,0.0,bottom
D17,113.2875,-88.0,0.0,bottom
D18,113.2875,-90.0,0.0,bottom
D19,136.0375,-92.0,0.0,bottom
D2,107.5,-88.5,0.0,top
D20,136.0375,-94.0,0.0,bottom
D21,132.7875,-92.0,0.0,bottom
D22,132.7875,-94.0,0.0,bottom
D23,129.5375,-92.0,0.0,bottom
D24,129.5375,-94.0,0.0,bottom
D25,126.2875,-92.0,0.0,bottom
D26,126.2875,-94.0,0.0,bottom
D27,123.0375,-92.0,0.0,bottom
D28,123.0375,-94.0,0.0,bottom
D29,119.7875,-92.0,0.0,bottom
D3,136.0375,-88.0,0.0,bottom
D30,119.7875,-94.0,0.0,bottom
D31,116.5375,-92.0,0.0,bottom
D32,116.5375,-94.0,0.0,bottom
D33,113.2875,-92.0,0.0,bottom
D34,113.2875,-94.0,0.0,bottom
D35,136.0375,-96.0,0.0,bottom
D36,136.0375,-98.0,0.0,bottom
D37,136.0375,-100.0,0.0,bottom
D38,136.0375,-102.0,0.0,bottom
D39,132.7875,-96.0,0.0,bottom
D4,136.0375,-90.0,0.0,bottom
D40,132.7875,-98.0,0.0,bottom
D41,132.7875,-100.0,0.0,bottom
D42,132.7875,-102.0,0.0,bottom
D43,129.5375,-96.0,0.0,bottom
D44,129.5375,-98.0,0.0,bottom
D45,129.5375,-100.0,0.0,bottom
D46,129.5375,-102.0,0.0,bottom
D47,126.2875,-96.0,0.0,bottom
D48,126.2875,-98.0,0.0,bottom
D49,126.2875,-100.0,0.0,bottom
D5,132.7875,-88.0,0.0,bottom
D50,126.2875,-102.0,0.0,bottom
D51,123.0375,-96.0,0.0,bottom
D52,123.0375,-98.0,0.0,bottom
D53,123.0375,-100.0,0.0,bottom
D54,123.0375,-102.0,0.0,bottom
D55,119.7875,-96.0,0.0,bottom
D56,119.7875,-98.0,0.0,bottom
D57,119.7875,-100.0,0.0,bottom
D58,119.7875,-102.0,0.0,bottom
D59,116.5375,-96.0,0.0,bottom
D6,132.7875,-90.0,0.0,bottom
D60,116.5375,-98.0,0.0,bottom
D61,116.5375,-100.0,0.0,bottom
D62,116.5375,-102.0,0.0,bottom
D63,113.2875,-96.0,0.0,bottom
D64,113.2875,-98.0,0.0,bottom
D65,113.2875,-100.0,0.0,bottom
D66,113.2875,-102.0,0.0,bottom
D7,129.5375,-88.0,0.0,bottom
D8,129.5375,-90.0,0.0,bottom
D9,126.2875,-88.0,0.0,bottom
J1,104.0,-95.0,270.0,top
R1,107.5,-103.0,180.0,top
R10,133.175,-102.5,0.0,top
R11,126.5,-101.0,0.0,top
R12,126.5,-102.5,0.0,top
R13,126.5,-104.0,0.0,top
R14,131.825,-87.5,0.0,top
R15,131.825,-86.0,0.0,top
R16,125.5,-87.5,180.0,top
R17,125.5,-86.0,180.0,top
R2,107.5,-101.5,0.0,top
R3,124.0,-89.0,0.0,top
R4,117.0,-89.5,270.0,top
R5,115.5,-89.5,270.0,top
R6,114.0,-89.5,270.0,top
R7,113.825,-97.5,0.0,top
R8,110.675,-86.8,180.0,top
R9,110.675,-88.5,180.0,top
U1,113.0,-95.0,180.0,top
U2,117.0,-94.8875,180.0,top
U3,113.0,-100.0,0.0,top
U4,127.0,-95.0,270.0,top
U5,119.5,-102.5,180.0,top
