Designator,Mid X,Mid Y,Rotation,Layer
C1,150.0,-87.0,90.0,top
C10,152.75,-103.8,90.0,top
C11,160.75,-104.0,0.0,top
C12,153.5,-99.75,90.0,top
C13,143.25,-96.24,90.0,top
C14,142.5,-98.5,0.0,top
C15,141.75,-96.24,270.0,top
C16,162.25,-106.5,180.0,top
C17,153.75,-106.5,180.0,top
C18,158.0,-106.5,0.0,top
C19,149.1,-107.75,270.0,top
C2,145.706372,-87.729517,109.2857143,top
C3,141.894633,-89.836191,128.5714286,top
C4,138.992585,-93.083583,147.8571429,top
C5,154.293628,-87.729517,70.71428571,top
C6,158.105367,-89.836191,51.42857143,top
C7,161.007415,-93.083583,32.14285714,top
C8,153.5,-96.75,90.0,top
C9,154.75,-103.8,90.0,top
D1,150.55,-106.25,270.0,top
D2,150.55,-109.5,270.0,top
D3,135.75,-107.25,270.0,top
D4,156.4,-112.5,270.0,top
D5,164.0,-115.0,0.0,top
D6,164.0,-118.0,180.0,top
D7,164.0,-113.0,180.0,top
M1,150.0,-100.0,180.0,top
Q1,142.25,-107.25,180.0,top
R1,147.5,-112.25,270.0,top
R2,149.75,-112.0,180.0,top
R3,149.75,-113.75,180.0,top
R4,150.0,-92.5,180.0,top
R5,163.5,-104.25,270.0,top
R6,165.0,-103.25,270.0,top
R7,153.5,-113.1,90.0,top
R8,152.0,-113.1,90.0,top
TP3,157.5,-116.75,90.0,top
TP4,153.5,-116.75,90.0,top
TP5,149.5,-116.75,90.0,top
TP6,136.0,-96.5,75.0,top
U1,150.0,-98.25,90.0,top
U2,157.5,-103.3125,270.0,top
U3,162.1,-109.0,180.0,top
U4,153.75,-109.0,180.0,top
U5,158.0,-109.0,180.0,top
