Designator,Footprint,Quantity,Value,LCSC Part #
,abf7de50-6944-431c-8153-075f1279aee6,1,,
"C1, C2",0805,2,1uF,
"C10, C11, C12, C7, C8, C9",1210,6,10uF,
"C3, C4, C6",0603,3,0.1uF,
C5,0805,1,0.47uF,
"D1, D2, D5",D_SOD-323,3,CUHS20S60,
"D3, D4, D6",0603,3,LED,
"DT1, DT2, DT3",SOT-23,3,DTC114E,
J1,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,1,Power,
J2,AMASS_XT30PW-F_1x02_P2.50mm_Horizontal,1,Output,
J3,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,1,Input,
"Q1, Q2, Q3, Q4",TDSON-8-1,4,TPH11006NL,
"R1, R3, R5, R7",0603,4,10Ω,
"R10, R11, R12, R13, R2, R4, R6, R8, R9",0603,9,10kΩ,
"U1, U2",SOIC-8_3.9x4.9mm_P1.27mm,2,IR2302,
U3,TO-252-2,1,L7808,
