Designator,Footprint,Quantity,Value,LCSC Part #
"C1_2, C1, C2_2, C2",0805,4,1uF,
"C10_2, C10, C11_2, C11, C12_2, C12, C13_2, C13, C6_2, C6, C7_2, C7, C8_2, C8, C9_2, C9",0603,16,0.1uF,
"C3_2, C3",CP_Radial_D8.0mm_P3.50mm,2,100uF,
"C4_2, C4",CP_Radial_D6.3mm_P2.50mm,2,47uF,
"C5_2, C5",0603,2,0.47uF,
"D1_2, D1, D2_2, D2",D_SOD-123,4,1N4148W,
"D3_2, D3, D4_2, D4, D5_2, D5",0603,6,LED,
"J1_2, J1",AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,2,Power,
"J2_2, J2",AMASS_XT30PW-F_1x02_P2.50mm_Horizontal,2,Motor,
"J3_2, J3",JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,2,Control,
"Q1_2, Q1, Q2_2, Q2, Q3_2, Q3, Q4_2, Q4",TO-252-2,8,NMOS,
"R1_2, R1, R3_2, R3, R5_2, R5, R7_2, R7",0603,8,10Ω,
"R10_2, R10, R13_2, R13, R14_2, R14, R2_2, R2, R4_2, R4, R6_2, R6, R8_2, R8, R9_2, R9",0603,16,10kΩ,
"R11_2, R11, R12_2, R12",0603,4,1kΩ,
"U1_2, U1, U2_2, U2",SOIC-8_3.9x4.9mm_P1.27mm,4,IR2302,
"U3_2, U3",SOIC-8_3.9x4.9mm_P1.27mm,2,ADuM120N,
"U4_2, U4",TO-252-2,2,L7805,
"U5_2, U5",SOT-23-5,2,74AHC1G04,
"U6_2, U6, U7_2, U7",SOT-23-5,4,74AHC1G08,
