Designator,Footprint,Quantity,Value,LCSC Part #
"C1_6, C1_5, C1_4, C1_3, C1_2, C1, C2_6, C2_5, C2_4, C2_3, C2_2, C2, C3_6, C3_5, C3_4, C3_3, C3_2, C3",C_Disc_D3.0mm_W2.0mm_P2.50mm,18,0.1uF,
"D1_6, D1_5, D1_4, D1_3, D1_2, D1",LED_D5.0mm,6,LED,
"J1_6, J1_5, J1_4, J1_3, J1_2, J1",TerminalBlock_MetzConnect_Type101_RT01602HBWC_1x02_P5.08mm_Horizontal,6,Power,
"J2_6, J2_5, J2_4, J2_3, J2_2, J2",PinHeader_1x03_P2.54mm_Vertical,6,Servo,
"Q1_6, Q1_5, Q1_4, Q1_3, Q1_2, Q1",TO-92_Inline,6,PN2222A,
"R1_6, R1_5, R1_4, R1_3, R1_2, R1",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,6,120kΩ,
"R2_6, R2_5, R2_4, R2_3, R2_2, R2, R4_6, R4_5, R4_4, R4_3, R4_2, R4, R5_6, R5_5, R5_4, R5_3, R5_2, R5, R6_6, R6_5, R6_4, R6_3, R6_2, R6",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,24,1.5kΩ,
"R3_6, R3_5, R3_4, R3_3, R3_2, R3",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,6,3kΩ,
"RV1_6, RV1_5, RV1_4, RV1_3, RV1_2, RV1",Potentiometer_Piher_PT-6-V_Vertical,6,10kΩ,
"U1_6, U1_5, U1_4, U1_3, U1_2, U1",DIP-8_W7.62mm,6,NE555P,
