Designator,Mid X,Mid Y,Rotation,Layer
C1_6,135.255,-128.8825,270.0,top
C1_5,104.14,-128.8825,270.0,top
C1_4,166.37,-87.6075,270.0,top
C1_3,135.255,-87.6075,270.0,top
C1_2,104.14,-87.6075,270.0,top
C1,166.37,-128.8825,270.0,top
C2_6,137.795,-128.885,270.0,top
C2_5,106.68,-128.885,270.0,top
C2_4,168.91,-87.61,270.0,top
C2_3,137.795,-87.61,270.0,top
C2_2,106.68,-87.61,270.0,top
C2,168.91,-128.885,270.0,top
C3_6,140.335,-128.885,270.0,top
C3_5,109.22,-128.885,270.0,top
C3_4,171.45,-87.61,270.0,top
C3_3,140.335,-87.61,270.0,top
C3_2,109.22,-87.61,270.0,top
C3,171.45,-128.885,270.0,top
D1_6,160.655,-128.905,180.0,top
D1_5,129.54,-128.905,180.0,top
D1_4,191.77,-87.63,180.0,top
D1_3,160.655,-87.63,180.0,top
D1_2,129.54,-87.63,180.0,top
D1,191.77,-128.905,180.0,top
J1_6,147.955,-103.505,180.0,top
J1_5,116.84,-103.505,180.0,top
J1_4,179.07,-62.23,180.0,top
J1_3,147.955,-62.23,180.0,top
J1_2,116.84,-62.23,180.0,top
J1,179.07,-103.505,180.0,top
J2_6,161.29,-111.125,0.0,top
J2_5,130.175,-111.125,0.0,top
J2_4,192.405,-69.85,0.0,top
J2_3,161.29,-69.85,0.0,top
J2_2,130.175,-69.85,0.0,top
J2,192.405,-111.125,0.0,top
Q1_6,160.655,-120.65,90.0,top
Q1_5,129.54,-120.65,90.0,top
Q1_4,191.77,-79.375,90.0,top
Q1_3,160.655,-79.375,90.0,top
Q1_2,129.54,-79.375,90.0,top
Q1,191.77,-120.65,90.0,top
R1_6,149.225,-109.855,180.0,top
R1_5,118.11,-109.855,180.0,top
R1_4,180.34,-68.58,180.0,top
R1_3,149.225,-68.58,180.0,top
R1_2,118.11,-68.58,180.0,top
R1,180.34,-109.855,180.0,top
R2_6,149.225,-113.665,0.0,top
R2_5,118.11,-113.665,0.0,top
R2_4,180.34,-72.39,0.0,top
R2_3,149.225,-72.39,0.0,top
R2_2,118.11,-72.39,0.0,top
R2,180.34,-113.665,0.0,top
R3_6,149.225,-117.475,180.0,top
R3_5,118.11,-117.475,180.0,top
R3_4,180.34,-76.2,180.0,top
R3_3,149.225,-76.2,180.0,top
R3_2,118.11,-76.2,180.0,top
R3,180.34,-117.475,180.0,top
R4_6,149.225,-125.095,0.0,top
R4_5,118.11,-125.095,0.0,top
R4_4,180.34,-83.82,0.0,top
R4_3,149.225,-83.82,0.0,top
R4_2,118.11,-83.82,0.0,top
R4,180.34,-125.095,0.0,top
R5_6,149.225,-121.285,180.0,top
R5_5,118.11,-121.285,180.0,top
R5_4,180.34,-80.01,180.0,top
R5_3,149.225,-80.01,180.0,top
R5_2,118.11,-80.01,180.0,top
R5,180.34,-121.285,180.0,top
R6_6,149.225,-128.905,0.0,top
R6_5,118.11,-128.905,0.0,top
R6_4,180.34,-87.63,0.0,top
R6_3,149.225,-87.63,0.0,top
R6_2,118.11,-87.63,0.0,top
R6,180.34,-128.905,0.0,top
RV1_6,137.755,-109.307,180.0,top
RV1_5,106.64,-109.307,180.0,top
RV1_4,168.87,-68.032,180.0,top
RV1_3,137.755,-68.032,180.0,top
RV1_2,106.64,-68.032,180.0,top
RV1,168.87,-109.307,180.0,top
U1_6,137.8,-119.34,0.0,top
U1_5,106.685,-119.34,0.0,top
U1_4,168.915,-78.065,0.0,top
U1_3,137.8,-78.065,0.0,top
U1_2,106.685,-78.065,0.0,top
U1,168.915,-119.34,0.0,top
