Designator,Mid X,Mid Y,Rotation,Layer
C1_24,149.0,-139.225,90.0,top
C1_23,120.5,-139.225,90.0,top
C1_22,177.5,-126.725,90.0,top
C1_21,149.0,-126.725,90.0,top
C1_20,120.5,-126.725,90.0,top
C1_19,177.5,-114.225,90.0,top
C1_18,149.0,-114.225,90.0,top
C1_17,120.5,-114.225,90.0,top
C1_16,177.5,-101.725,90.0,top
C1_15,149.0,-101.725,90.0,top
C1_14,120.5,-101.725,90.0,top
C1_13,177.5,-89.225,90.0,top
C1_12,149.0,-89.225,90.0,top
C1_11,120.5,-89.225,90.0,top
C1_10,177.5,-76.725,90.0,top
C1_9,149.0,-76.725,90.0,top
C1_8,120.5,-76.725,90.0,top
C1_7,177.5,-64.225,90.0,top
C1_6,149.0,-64.225,90.0,top
C1_5,120.5,-64.225,90.0,top
C1_4,177.5,-51.725,90.0,top
C1_3,149.0,-51.725,90.0,top
C1_2,120.5,-51.725,90.0,top
C1,177.5,-139.225,90.0,top
C2_24,147.5,-139.225,90.0,top
C2_23,119.0,-139.225,90.0,top
C2_22,176.0,-126.725,90.0,top
C2_21,147.5,-126.725,90.0,top
C2_20,119.0,-126.725,90.0,top
C2_19,176.0,-114.225,90.0,top
C2_18,147.5,-114.225,90.0,top
C2_17,119.0,-114.225,90.0,top
C2_16,176.0,-101.725,90.0,top
C2_15,147.5,-101.725,90.0,top
C2_14,119.0,-101.725,90.0,top
C2_13,176.0,-89.225,90.0,top
C2_12,147.5,-89.225,90.0,top
C2_11,119.0,-89.225,90.0,top
C2_10,176.0,-76.725,90.0,top
C2_9,147.5,-76.725,90.0,top
C2_8,119.0,-76.725,90.0,top
C2_7,176.0,-64.225,90.0,top
C2_6,147.5,-64.225,90.0,top
C2_5,119.0,-64.225,90.0,top
C2_4,176.0,-51.725,90.0,top
C2_3,147.5,-51.725,90.0,top
C2_2,119.0,-51.725,90.0,top
C2,176.0,-139.225,90.0,top
C3_24,153.0,-140.0,180.0,top
C3_23,124.5,-140.0,180.0,top
C3_22,181.5,-127.5,180.0,top
C3_21,153.0,-127.5,180.0,top
C3_20,124.5,-127.5,180.0,top
C3_19,181.5,-115.0,180.0,top
C3_18,153.0,-115.0,180.0,top
C3_17,124.5,-115.0,180.0,top
C3_16,181.5,-102.5,180.0,top
C3_15,153.0,-102.5,180.0,top
C3_14,124.5,-102.5,180.0,top
C3_13,181.5,-90.0,180.0,top
C3_12,153.0,-90.0,180.0,top
C3_11,124.5,-90.0,180.0,top
C3_10,181.5,-77.5,180.0,top
C3_9,153.0,-77.5,180.0,top
C3_8,124.5,-77.5,180.0,top
C3_7,181.5,-65.0,180.0,top
C3_6,153.0,-65.0,180.0,top
C3_5,124.5,-65.0,180.0,top
C3_4,181.5,-52.5,180.0,top
C3_3,153.0,-52.5,180.0,top
C3_2,124.5,-52.5,180.0,top
C3,181.5,-140.0,180.0,top
C4_24,153.0,-149.0,180.0,top
C4_23,124.5,-149.0,180.0,top
C4_22,181.5,-136.5,180.0,top
C4_21,153.0,-136.5,180.0,top
C4_20,124.5,-136.5,180.0,top
C4_19,181.5,-124.0,180.0,top
C4_18,153.0,-124.0,180.0,top
C4_17,124.5,-124.0,180.0,top
C4_16,181.5,-111.5,180.0,top
C4_15,153.0,-111.5,180.0,top
C4_14,124.5,-111.5,180.0,top
C4_13,181.5,-99.0,180.0,top
C4_12,153.0,-99.0,180.0,top
C4_11,124.5,-99.0,180.0,top
C4_10,181.5,-86.5,180.0,top
C4_9,153.0,-86.5,180.0,top
C4_8,124.5,-86.5,180.0,top
C4_7,181.5,-74.0,180.0,top
C4_6,153.0,-74.0,180.0,top
C4_5,124.5,-74.0,180.0,top
C4_4,181.5,-61.5,180.0,top
C4_3,153.0,-61.5,180.0,top
C4_2,124.5,-61.5,180.0,top
C4,181.5,-149.0,180.0,top
D1_24,152.9975,-138.475,180.0,top
D1_23,124.4975,-138.475,180.0,top
D1_22,181.4975,-125.975,180.0,top
D1_21,152.9975,-125.975,180.0,top
D1_20,124.4975,-125.975,180.0,top
D1_19,181.4975,-113.475,180.0,top
D1_18,152.9975,-113.475,180.0,top
D1_17,124.4975,-113.475,180.0,top
D1_16,181.4975,-100.975,180.0,top
D1_15,152.9975,-100.975,180.0,top
D1_14,124.4975,-100.975,180.0,top
D1_13,181.4975,-88.475,180.0,top
D1_12,152.9975,-88.475,180.0,top
D1_11,124.4975,-88.475,180.0,top
D1_10,181.4975,-75.975,180.0,top
D1_9,152.9975,-75.975,180.0,top
D1_8,124.4975,-75.975,180.0,top
D1_7,181.4975,-63.475,180.0,top
D1_6,152.9975,-63.475,180.0,top
D1_5,124.4975,-63.475,180.0,top
D1_4,181.4975,-50.975,180.0,top
D1_3,152.9975,-50.975,180.0,top
