Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5",0603,5,0.1uF,
C6,CP_Radial_D6.3mm_P2.50mm,1,100uF,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,PowerSupply & Programming,
J2,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,1,CAN,
J3,USB_A_Molex_67643_Horizontal,1,Controller,
J4,JST_XH_B9B-XH-A_1x09_P2.50mm_Vertical,1,GPIO,
"R1, R2",0603,2,5.1kΩ,
R3,0603,1,120Ω,
U1,XIAO-ESP32-S3-SMD,1,XIAO-ESP32-S3-SMD,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2562-E-SN,
"U3, U4",SOT-23-6,2,USBLC6-2SC6,
U5,JEITA_SOIC-8_3.9x4.9mm_P1.27mm,1,CH340N,
