Designator,Mid X,Mid Y,Rotation,Layer
C1,84.5,-90.0,0.0,top
C2,81.0,-94.5,90.0,top
C3,93.906802,-64.775,90.0,top
C4,100.906802,-64.775,90.0,top
C5,84.75,-68.5,0.0,top
C6,93.0,-93.25,90.0,top
D1,103.0,-57.0,180.0,top
H1,109.0,-89.0,0.0,top
J1,82.75,-61.525,270.0,top
J2,87.0,-101.555,0.0,top
J3,103.5,-99.345,0.0,top
J4,108.525,-72.0,270.0,top
R1,88.5,-58.0,90.0,top
R2,88.5,-65.0,270.0,top
R3,88.0,-94.5,90.0,top
R4,102.75,-87.25,270.0,top
R5,104.25,-87.25,270.0,top
R6,99.0,-57.0,0.0,top
U1,90.569,-79.0925,90.0,top
U2,84.5,-94.5,180.0,top
U3,90.906802,-61.5,180.0,top
U4,103.5,-92.0,270.0,top
U5,97.406802,-62.775,270.0,top
