Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C14, C4, C5, C6, C7, C8, C9",0603,10,0.1uF,
"C12, C13",0603,2,20pF,
C2,0603,1,0.22uF,
C3,0603,1,4.7uF,
D1,0603,1,Blue,
"D2, D3",0603,2,Orange,
J1,USB_A_CNCTech_1001-011-01101_Horizontal,1,USB_A,
J2,PinSocket_1x03_P2.54mm_Horizontal,1,Debug,
J3,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,1,CAN,
J4,PinSocket_1x02_P1.27mm_Vertical,1,Reset,
"R1, R2, R3, R5, R6",0603,5,1kΩ,
R4,0603,1,10kΩ,
R7,0603,1,120Ω,
SW1,SW_PUSH_1P1T_6x3.5mm_H4.3_APEM_MJTP1243,1,Boot,
SW2,SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm,1,CAN_R_SW,
U1,SOT-23-6,1,USBLC6-2SC6,
U2,SOT-23-5,1,NJM12888,
U3,JEITA_SOIC-8_3.9x4.9mm_P1.27mm,1,CH340N,
U4,LQFP-32_7x7mm_P0.8mm,1,STM32F303K8Tx,
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2562-E-SN,
Y1,Crystal_HC49-4H_Vertical,1,16MHz,
