Designator,Mid X,Mid Y,Rotation,Layer
C1,171.0,-107.0,90.0,top
C10,169.5,-107.5,270.0,top
C11,195.0,-109.0,0.0,top
C12,171.0,-96.4,270.0,top
C13,171.0,-99.4,90.0,top
C14,183.5,-92.0,0.0,top
C2,177.0,-107.5,270.0,top
C3,180.5,-93.5,0.0,top
C4,191.5,-101.0,90.0,top
C5,179.5,-103.0,270.0,top
C6,180.5,-95.0,0.0,top
C7,183.5,-105.5,0.0,top
C8,162.0,-106.5,270.0,top
C9,189.5,-109.0,180.0,top
D1,156.75,-91.75,0.0,top
D2,188.25,-91.5,0.0,top
D3,191.75,-91.5,0.0,top
J1,151.4,-100.0,180.0,top
J2,199.6,-94.235,180.0,top
J3,200.055,-106.0,90.0,top
R1,164.5,-96.0,180.0,top
R2,188.25,-93.0,0.0,top
R3,191.75,-93.0,0.0,top
R4,183.5,-93.5,0.0,top
R5,196.0,-93.5,270.0,top
R6,196.0,-96.5,270.0,top
R7,196.0,-100.75,180.0,top
SW1,165.5,-92.0,180.0,top
SW2,204.5,-100.25,180.0,top
U1,165.0,-98.75,0.0,top
U2,174.0,-107.5,180.0,top
U3,165.75,-105.5,270.0,top
U4,185.5,-99.5,270.0,top
U5,193.0,-105.5,270.0,top
Y1,175.0,-97.9,90.0,top
