Designator,Mid X,Mid Y,Rotation,Layer
C1_6,90.755,-65.16,270.0,top
C1_5,135.755,-95.16,270.0,top
C1_4,90.755,-35.16,270.0,top
C1_3,135.755,-35.16,270.0,top
C1_2,135.755,-65.16,270.0,top
C1,90.755,-95.16,270.0,top
C2_6,93.295,-95.18,270.0,top
C2_5,138.295,-35.18,270.0,top
C2_4,138.295,-95.18,270.0,top
C2_3,93.295,-35.18,270.0,top
C2_2,93.295,-65.18,270.0,top
C2,138.295,-65.18,270.0,top
C3_6,95.835,-95.18,270.0,top
C3_5,140.835,-35.18,270.0,top
C3_4,95.835,-35.18,270.0,top
C3_3,140.835,-95.18,270.0,top
C3_2,140.835,-65.18,270.0,top
C3,95.835,-65.18,270.0,top
C4_6,153.33,-74.612621,270.0,top
C4_5,108.33,-74.612621,270.0,top
C4_4,153.33,-44.612621,270.0,top
C4_3,108.33,-104.612621,270.0,top
C4_2,153.33,-104.612621,270.0,top
C4,108.33,-44.612621,270.0,top
C5_6,99.44,-104.612621,270.0,top
C5_5,144.44,-44.612621,270.0,top
C5_4,144.44,-104.612621,270.0,top
C5_3,144.44,-74.612621,270.0,top
C5_2,99.44,-74.612621,270.0,top
C5,99.44,-44.612621,270.0,top
D1_6,115.196,-38.185,90.0,top
D1_5,115.196,-68.185,90.0,top
D1_4,115.196,-98.185,90.0,top
D1_3,160.196,-38.185,90.0,top
D1_2,160.196,-68.185,90.0,top
D1,160.196,-98.185,90.0,top
J1_6,128.135,-95.085,270.0,top
J1_5,128.135,-65.085,270.0,top
J1_4,83.135,-35.085,270.0,top
J1_3,128.135,-35.085,270.0,top
J1_2,83.135,-65.085,270.0,top
J1,83.135,-95.085,270.0,top
J2_6,165.53,-95.01,180.0,top
J2_5,120.53,-35.01,180.0,top
J2_4,165.53,-65.01,180.0,top
J2_3,120.53,-95.01,180.0,top
J2_2,165.53,-35.01,180.0,top
J2,120.53,-65.01,180.0,top
Q1_6,160.196,-61.835,270.0,top
Q1_5,115.196,-91.835,270.0,top
Q1_4,115.196,-61.835,270.0,top
Q1_3,160.196,-31.835,270.0,top
Q1_2,115.196,-31.835,270.0,top
Q1,160.196,-91.835,270.0,top
R1_6,104.09,-23.095,0.0,top
R1_5,104.09,-83.095,0.0,top
R1_4,149.09,-53.095,0.0,top
R1_3,149.09,-23.095,0.0,top
R1_2,149.09,-83.095,0.0,top
R1,104.09,-53.095,0.0,top
R2_6,149.09,-26.27,0.0,top
R2_5,104.09,-26.27,0.0,top
R2_4,104.09,-86.27,0.0,top
R2_3,149.09,-86.27,0.0,top
R2_2,104.09,-56.27,0.0,top
R2,149.09,-56.27,0.0,top
R3_6,104.09,-29.445,0.0,top
R3_5,149.09,-89.445,0.0,top
R3_4,104.09,-59.445,0.0,top
R3_3,149.09,-59.445,0.0,top
R3_2,104.09,-89.445,0.0,top
R3,149.09,-29.445,0.0,top
R4_6,104.09,-92.62,0.0,top
R4_5,149.09,-62.62,0.0,top
R4_4,149.09,-92.62,0.0,top
R4_3,104.09,-32.62,0.0,top
R4_2,149.09,-32.62,0.0,top
R4,104.09,-62.62,0.0,top
R5_6,149.09,-65.795,180.0,top
R5_5,104.09,-35.795,180.0,top
R5_4,149.09,-95.795,180.0,top
R5_3,104.09,-95.795,180.0,top
R5_2,104.09,-65.795,180.0,top
R5,149.09,-35.795,180.0,top
R6_6,149.09,-38.97,0.0,top
R6_5,149.09,-98.97,0.0,top
R6_4,104.09,-68.97,0.0,top
R6_3,104.09,-38.97,0.0,top
R6_2,149.09,-68.97,0.0,top
R6,104.09,-98.97,0.0,top
RV1_6,91.198,-104.916,270.0,top
RV1_5,91.198,-44.916,270.0,top
RV1_4,91.198,-74.916,270.0,top
RV1_3,136.198,-44.916,270.0,top
RV1_2,136.198,-74.916,270.0,top
RV1,136.198,-104.916,270.0,top
U1_6,92.66,-56.905,0.0,top
U1_5,137.66,-86.905,0.0,top
U1_4,92.66,-26.905,0.0,top
U1_3,92.66,-86.905,0.0,top
U1_2,137.66,-26.905,0.0,top
U1,137.66,-56.905,0.0,top
