Designator,Mid X,Mid Y,Rotation,Layer
BT1_12,127.35,-132.6,90.0,bottom
BT1_11,97.35,-132.6,90.0,bottom
BT1_10,157.35,-107.6,90.0,bottom
BT1_9,127.35,-107.6,90.0,bottom
BT1_8,97.35,-107.6,90.0,bottom
BT1_7,157.35,-82.6,90.0,bottom
BT1_6,127.35,-82.6,90.0,bottom
BT1_5,97.35,-82.6,90.0,bottom
BT1_4,157.35,-57.6,90.0,bottom
BT1_3,127.35,-57.6,90.0,bottom
BT1_2,97.35,-57.6,90.0,bottom
BT1,157.35,-132.6,90.0,bottom
D1_12,132.2875,-125.2,180.0,top
D1_11,102.2875,-125.2,180.0,top
D1_10,162.2875,-100.2,180.0,top
D1_9,132.2875,-100.2,180.0,top
D1_8,102.2875,-100.2,180.0,top
D1_7,162.2875,-75.2,180.0,top
D1_6,132.2875,-75.2,180.0,top
D1_5,102.2875,-75.2,180.0,top
D1_4,162.2875,-50.2,180.0,top
D1_3,132.2875,-50.2,180.0,top
D1_2,102.2875,-50.2,180.0,top
D1,162.2875,-125.2,180.0,top
D2_12,132.2875,-126.8,180.0,top
D2_11,102.2875,-126.8,180.0,top
D2_10,162.2875,-101.8,180.0,top
D2_9,132.2875,-101.8,180.0,top
D2_8,102.2875,-101.8,180.0,top
D2_7,162.2875,-76.8,180.0,top
D2_6,132.2875,-76.8,180.0,top
D2_5,102.2875,-76.8,180.0,top
D2_4,162.2875,-51.8,180.0,top
D2_3,132.2875,-51.8,180.0,top
D2_2,102.2875,-51.8,180.0,top
D2,162.2875,-126.8,180.0,top
D3_12,132.2875,-128.4,180.0,top
D3_11,102.2875,-128.4,180.0,top
D3_10,162.2875,-103.4,180.0,top
D3_9,132.2875,-103.4,180.0,top
D3_8,102.2875,-103.4,180.0,top
D3_7,162.2875,-78.4,180.0,top
D3_6,132.2875,-78.4,180.0,top
D3_5,102.2875,-78.4,180.0,top
D3_4,162.2875,-53.4,180.0,top
D3_3,132.2875,-53.4,180.0,top
D3_2,102.2875,-53.4,180.0,top
D3,162.2875,-128.4,180.0,top
D4_12,132.2875,-130.0,180.0,top
D4_11,102.2875,-130.0,180.0,top
D4_10,162.2875,-105.0,180.0,top
D4_9,132.2875,-105.0,180.0,top
D4_8,102.2875,-105.0,180.0,top
D4_7,162.2875,-80.0,180.0,top
D4_6,132.2875,-80.0,180.0,top
D4_5,102.2875,-80.0,180.0,top
D4_4,162.2875,-55.0,180.0,top
D4_3,132.2875,-55.0,180.0,top
D4_2,102.2875,-55.0,180.0,top
D4,162.2875,-130.0,180.0,top
D5_12,132.2875,-131.6,180.0,top
D5_11,102.2875,-131.6,180.0,top
D5_10,162.2875,-106.6,180.0,top
D5_9,132.2875,-106.6,180.0,top
D5_8,102.2875,-106.6,180.0,top
D5_7,162.2875,-81.6,180.0,top
D5_6,132.2875,-81.6,180.0,top
D5_5,102.2875,-81.6,180.0,top
D5_4,162.2875,-56.6,180.0,top
D5_3,132.2875,-56.6,180.0,top
